Speed,Distance,Consumption,Range_km
40,1.2,0.2,160.0
50,1.8,0.25,128.0
35,1.0,0.18,177.78
60,2.0,0.3,106.67
45,1.5,0.22,145.45
55,2.1,0.28,114.29
30,0.9,0.15,213.33
70,2.5,0.35,91.43
48,1.6,0.24,133.33
52,1.9,0.27,118.52
46,1.4,0.21,152.38
58,2.2,0.29,110.34
42,1.3,0.2,160.0
65,2.3,0.33,96.97
38,1.1,0.17,188.24
62,2.1,0.31,103.23
47,1.6,0.23,139.13
54,1.9,0.26,123.08
33,0.8,0.14,228.57
68,2.4,0.34,94.12
72,2.6,0.36,88.89
41,1.2,0.19,168.42
53,1.8,0.25,128.0
37,1.0,0.16,200.0
66,2.4,0.34,94.12
49,1.7,0.24,133.33
57,2.0,0.28,114.29
44,1.3,0.21,152.38
63,2.2,0.32,100.0
36,0.9,0.15,213.33
